Symbol,DATE,SP500
SP500,2020-11-13,3585.15
SP500,2020-11-16,3626.91
SP500,2020-11-17,3609.53
SP500,2020-11-18,3567.79
SP500,2020-11-19,3581.87
SP500,2020-11-20,3557.54
SP500,2020-11-23,3577.59
SP500,2020-11-24,3635.41
SP500,2020-11-25,3629.65
SP500,2020-11-26,
SP500,2020-11-27,3638.35
SP500,2020-11-30,3621.63
SP500,2020-12-01,3662.45
SP500,2020-12-02,3669.01
SP500,2020-12-03,3666.72
SP500,2020-12-04,3699.12
SP500,2020-12-07,3691.96
SP500,2020-12-08,3702.25
SP500,2020-12-09,3672.82
SP500,2020-12-10,3668.1
SP500,2020-12-11,3663.46
SP500,2020-12-14,3647.49
SP500,2020-12-15,3694.62
SP500,2020-12-16,3701.17
SP500,2020-12-17,3722.48
SP500,2020-12-18,3709.41
SP500,2020-12-21,3694.92
SP500,2020-12-22,3687.26
SP500,2020-12-23,3690.01
SP500,2020-12-24,3703.06
SP500,2020-12-25,
SP500,2020-12-28,3735.36
SP500,2020-12-29,3727.04
SP500,2020-12-30,3732.04
SP500,2020-12-31,3756.07
SP500,2021-01-01,
SP500,2021-01-04,3700.65
SP500,2021-01-05,3726.86
SP500,2021-01-06,3748.14
SP500,2021-01-07,3803.79
SP500,2021-01-08,3824.68
SP500,2021-01-11,3799.61
SP500,2021-01-12,3801.19
SP500,2021-01-13,3809.84
SP500,2021-01-14,3795.54
SP500,2021-01-15,3768.25
SP500,2021-01-18,
SP500,2021-01-19,3798.91
SP500,2021-01-20,3851.85
SP500,2021-01-21,3853.07
SP500,2021-01-22,3841.47
SP500,2021-01-25,3855.36
SP500,2021-01-26,3849.62
SP500,2021-01-27,3750.77
SP500,2021-01-28,3787.38
SP500,2021-01-29,3714.24
SP500,2021-02-01,3773.86
SP500,2021-02-02,3826.31
SP500,2021-02-03,3830.17
SP500,2021-02-04,3871.74
SP500,2021-02-05,3886.83
SP500,2021-02-08,3915.59
SP500,2021-02-09,3911.23
SP500,2021-02-10,3909.88
SP500,2021-02-11,3916.38
SP500,2021-02-12,3934.83
SP500,2021-02-15,
SP500,2021-02-16,3932.59
SP500,2021-02-17,3931.33
SP500,2021-02-18,3913.97
SP500,2021-02-19,3906.71
SP500,2021-02-22,3876.5
SP500,2021-02-23,3881.37
SP500,2021-02-24,3925.43
SP500,2021-02-25,3829.34
SP500,2021-02-26,3811.15
SP500,2021-03-01,3901.82
SP500,2021-03-02,3870.29
SP500,2021-03-03,3819.72
SP500,2021-03-04,3768.47
SP500,2021-03-05,3841.94
SP500,2021-03-08,3821.35
SP500,2021-03-09,3875.44
SP500,2021-03-10,3898.81
SP500,2021-03-11,3939.34
SP500,2021-03-12,3943.34
SP500,2021-03-15,3968.94
SP500,2021-03-16,3962.71
SP500,2021-03-17,3974.12
SP500,2021-03-18,3915.46
SP500,2021-03-19,3913.1
SP500,2021-03-22,3940.59
SP500,2021-03-23,3910.52
SP500,2021-03-24,3889.14
SP500,2021-03-25,3909.52
SP500,2021-03-26,3974.54
SP500,2021-03-29,3971.09
SP500,2021-03-30,3958.55
SP500,2021-03-31,3972.89
SP500,2021-04-01,4019.87
SP500,2021-04-02,
SP500,2021-04-05,4077.91
SP500,2021-04-06,4073.94
SP500,2021-04-07,4079.95
SP500,2021-04-08,4097.17
SP500,2021-04-09,4128.8
SP500,2021-04-12,4127.99
SP500,2021-04-13,4141.59
SP500,2021-04-14,4124.66
SP500,2021-04-15,4170.42
SP500,2021-04-16,4185.47
SP500,2021-04-19,4163.26
SP500,2021-04-20,4134.94
SP500,2021-04-21,4173.42
SP500,2021-04-22,4134.98
SP500,2021-04-23,4180.17
SP500,2021-04-26,4187.62
SP500,2021-04-27,4186.72
SP500,2021-04-28,4183.18
SP500,2021-04-29,4211.47
SP500,2021-04-30,4181.17
SP500,2021-05-03,4192.66
SP500,2021-05-04,4164.66
SP500,2021-05-05,4167.59
SP500,2021-05-06,4201.62
SP500,2021-05-07,4232.6
SP500,2021-05-10,4188.43
SP500,2021-05-11,4152.1
SP500,2021-05-12,4063.04
SP500,2021-05-13,4112.5
SP500,2021-05-14,4173.85
SP500,2021-05-17,4163.29
SP500,2021-05-18,4127.83
SP500,2021-05-19,4115.68
SP500,2021-05-20,4159.12
SP500,2021-05-21,4155.86
SP500,2021-05-24,4197.05
SP500,2021-05-25,4188.13
SP500,2021-05-26,4195.99
SP500,2021-05-27,4200.88
SP500,2021-05-28,4204.11
SP500,2021-05-31,
SP500,2021-06-01,4202.04
SP500,2021-06-02,4208.12
SP500,2021-06-03,4192.85
SP500,2021-06-04,4229.89
SP500,2021-06-07,4226.52
SP500,2021-06-08,4227.26
SP500,2021-06-09,4219.55
SP500,2021-06-10,4239.18
SP500,2021-06-11,4247.44
